SIREN,NIC,ENSEIGNE
15950082,48,
15950082,55,
24069767,10,
24069767,10,
24072761,26,
27150127,28,
38871968,12,
38871968,12,
63200885,1040,
63200885,1156,
70200084,21,
70200084,21,
85870764,33,LAMBERT MARC ET ALAIN
130007255,16,
130007255,16,
130023971,18,
172804312,12,SERVICE DEPARTEMENTAL DE L'EDUCATION NATIONALE
172804312,12,SERVICE DEPARTEMENTAL DE L'EDUCATION NATIONALE
172804312,38,CENTRE INFORMATION ORIENTATION
172804312,38,CENTRE INFORMATION ORIENTATION
172804312,103,CIRCONSCRIPTION 1ER DEGRE IEN CHATEAUDUN
172804312,103,CIRCONSCRIPTION 1ER DEGRE IEN CHATEAUDUN
172804312,137,C I O
172804312,137,CENTRE INFORMATION ORIENTATION
172804312,152,CENTRE D'INFORMATION ET D'ORIENTATION
172804312,152,CENTRE INFORMATION ORIENTATION
172804312,194,CIRCONS DEP 1ER DEGRE CHARTRES 3 PRE-ELEMENTAIRE
172804312,194,CIRCONS DEP 1ER DEGRE CHARTRES 3 PRE-ELEMENTAIRE
172804312,202,CIRCONSCRIPTION 1ER DEGRE IEN CHARTRES V ADJIA
172804312,202,CIRCONSCRIPTION 1ER DEGRE IEN CHARTRES V ADJIA
172804312,210,CIRCONSCRIPTION 1ER DEGRE DREUX I + ZEP
172804312,210,CIRCONSCRIPTION 1ER DEGRE DREUX I + ZEP
172804312,228,CIRCONSCRIPTION 1ER DEGRE DREUX II + ZEP
172804312,228,CIRCONSCRIPTION 1ER DEGRE DREUX II + ZEP
172804312,236,CIRCONSCRIPTION DEP 1ER DEGRE IEN ASH CHARTRES
172804312,236,CIRCONSCRIPTION DEP 1ER DEGRE IEN ASH CHARTRES
172804312,244,CIRCONSCRIPTION DEP 1ER DEGRE IEN CHARTRES 2
172804312,244,CIRCONSCRIPTION DEP 1ER DEGRE IEN CHARTRES 2
172804312,251,CIRCONSCRIPTION DEP 1ER DEGRE IEN DE CHARTRES 1
172804312,251,CIRCONSCRIPTION DEP 1ER DEGRE IEN DE CHARTRES 1
172804312,269,CIRCONSCRIPTION DEP 1ER DEGRE IEN DE CHARTRES 4
172804312,269,CIRCONSCRIPTION DEP 1ER DEGRE IEN DE CHARTRES 4
172804312,277,CIRCONSCRIPTION DEP 1ER DEGRE IEN NOGENT LE ROTROU
172804312,277,CIRCONSCRIPTION DEP 1ER DEGRE IEN NOGENT LE ROTROU
172804312,285,CENTRE D'INFORMATION ET D'ORIENTATION
172804312,285,CENTRE D'INFORMATION ET D'ORIENTATION
173508011,371,6EME BRIGADE REGIONALE VERIF. BREST
173508011,371,6EME BRIGADE REGIONALE VERIF. BREST
175407022,144,4EME BRIGADE REGIONALE VERIF.METZ
175407022,151,5EME BRIGADE REGIONALE VERIF.METZ
175407022,169,6EME BRIGADE REGIONALE VERIF.METZ
175407022,599,4EME BRIGADE REGIONALE VERIF METZ
175407022,607,5EME BRIGADE REGIONALE VERIF METZ
175407022,615,6EME BRIGADE REGIONALE VERIF METZ
200077014,112,BASE DE LOISIRS
212900179,38,SERVICE ASSAINISSEMENT
212900849,28,SERVICE D'EAU
212900997,33,SERVICE ASSAINISSEMENT
212901300,62,SERVICE ASSAINISSEMET
212901789,82,SERVICE D'ASSAINISSEMENT
212901789,90,SERVICE D'EAUX
212902605,105,ASSAINISSEMENT
212902605,113,SERVICE D'EAU
215801853,56,SERVICE DES EAUX
215801853,56,EAU ET ASSAINISSEMENT
215802109,37,ASSAINISSEMENT
215802109,45,SERVICE DE L EAU
215802109,45,EAU ET ASSAINISSEMENT
216209072,141,ZONE INDUSTRIELLE
217700012,32,SERVICE EAU ET ASSAINISSEMENT
223100017,688,BA RESEAUX HAUT DEBIT
227300019,188,TRANSPORTS SCOLAIRES
227300019,188,TRANSPORTS SCOLAIRES
250700556,13,
250700556,13,
253802425,20,
253802425,20,
266600568,15,
266600568,15,
267700748,10,CCAS
267701241,15,CCAS
276200029,29,IMMEUBLES RUE DU RENARD
300175486,103,
300286762,12,
300286762,38,
300286762,61,
300286762,95,LA PANETTERIE
300286762,111,
300286762,129,
300286762,178,
300286762,186,
300345808,608,NAF NAF
300818390,27,
300818390,27,
301140406,69,
301298030,18,
301298030,26,BAZENNE BOUTIQUE
301298030,26,BAZENNE BOUTIQUE
301523353,52,
301523353,60,
301820684,35,
301850731,37,
301850731,37,
301938817,675,
301938817,1079,
302077169,456,ROC-ECLERC
302077169,456,POMPES FUNEBRES MISTRE DURBANO
302077169,555,ROC-ECLERC
302077169,555,POMPES FUNEBRES PASCAL LECLERC
302135256,220,
302193990,25,
302338702,38,
302671706,18,
302671706,26,
303054233,26,1 S.A.T LE GRAND REAL
303054233,26,1 S.A.T LE GRAND REAL
303054233,42,I.M.E LA BOURGUETTE
303054233,42,I.M.E LA BOURGUETTE
303054233,59,C.A.T FOYER LE GRAND REAL
303054233,59,C.A.T FOYER LE GRAND REAL
303054233,67,FOYER D'ACCUEIL MEDICALISE
303054233,67,FOYER D'ACCUEIL MEDICALISE
303054233,75,ESAT COMMERCIAL
303054233,75,ESAT COMMERCIAL
303054233,109,LA MAISON DU VILLAGE
303054233,109,LA MAISON DU VILLAGE
303054233,117,AUBERGE DE VALBONNE
303054233,117,AUBERGE DE VALBONNE
303054233,125,
303054233,125,
303054233,133,
303054233,141,
303054233,141,
303054233,158,
303449581,329,
303449581,329,
303449581,345,
303449581,352,
303571095,64,
304347453,25,
304464399,19,
304464399,27,
304464399,35,
304469851,48,
304700453,59,
304974249,373,
304974249,373,
304974249,381,
304974249,381,
305233850,67,
305233850,75,
305851677,16,
306433798,23,
307277129,127,MY WALK
307649731,22,
307649731,22,
308725316,43,
308807460,40,
308858448,27,
308985258,26,SALON DE THE  DOSDA
308985258,26,SALON DE THE  DOSDA
309301901,109,
309344208,41,
309355048,54,
309574408,63,
310166210,40,
310211206,43,
310211206,43,
310715230,10,
310757877,33,
310921184,76,
311258693,28,
311258693,28,
311258693,36,
311276141,42,
311581821,31,
311581821,31,
311820112,10,
311889877,1444,ESTHETIC CENTER
311931810,15,
312058050,13,ETABLISSEMENTS JOUX
312058050,13,ETABLISSEMENTS JOUX
312099526,70,
312099526,70,
312099526,88,
312099526,88,
312099526,96,
312099526,96,
312262678,13,
312288806,51,
312478266,4670,REF INTERNE 650137
312637499,38,
312714108,49,
313529844,59,
313653412,38,
313653412,38,
313681801,53,
313681801,53,
313713208,12,
313992364,31,
314337445,30,
314391715,39,
314397712,907,AIGLE
314454364,22,
314454364,30,
314766056,712,
314910431,233,PANTASHOP
314910431,233,PANTASHOP
314931767,37,CENTRE SCARABE
315173898,18,
315173898,18,
315182600,41,
315233114,67,
315427864,14,
315427989,27,
315549352,5194,
315549352,7117,
315635144,84,
315635144,84,
315635144,118,
315635144,175,ADAPEI FOYER DE VIE
315645945,33,
315683938,23,
315890038,39,
316123942,13,
317100261,13,
317100261,13,
317127223,20,
317131332,56,
317224988,46,
317250595,20,
317542025,372,
317542025,455,
317685238,14,
317685238,14,
317927697,19,
318312246,73,
318335734,22,
318335734,22,
318412079,36,JOUVENCES DECORATION
318461092,13,
318461092,21,
318535853,10,
318535853,10,
318815289,26,
319171658,77,
319241022,56,
319265435,10,
319282521,65,
319415477,11,
319415477,29,
319761623,36,
319814505,24,
319814505,32,
319814505,32,
319868121,41,
319868121,58,
319918066,55,
319964417,61,
320030323,28,
320030323,28,
320030323,36,
320030323,36,
320228570,42,MBH ET MBH AZUR ET MBH FRET
320228570,42,MBH ET MBH AZUR ET MBH FRET
320330012,586,
320346646,39,
320497506,40,
320497506,40,
320497506,57,
320497506,57,
320586522,15,
320586522,15,
320618275,87,PETITE RIVIERE
320618275,95,
320747611,20,
320842644,17,
321006892,186,
321006892,384,
321032393,27,
321092058,49,
321092058,49,
321180044,34,
321412298,10,
321463721,84,PANIC
321485351,50,
321572083,53,
321572083,61,
321701161,10,
321701161,10,
321716813,19,
321890725,21,
322184516,68,
322258351,12,
322258351,20,
322258864,14,
322258864,14,
322474255,13,
322486580,77,
322499930,20,
322502113,10,
322512773,68,
322645524,40,
322656620,42,
322656620,42,
322668427,22,
322668427,30,
322733262,32,
322746223,21,
322760497,220,FAIR PAY JUSTITIA
322760497,220,FAIR PAY JUSTITIA
322760497,261,FAIR PAY JUSTITIA
322760497,261,FAIR PAY JUSTITIA
322760497,303,FAIR PAY JUSTITIA - CRONOS
322760497,303,FAIR PAY JUSTITIA - CRONOS
322760497,345,"FAIR PAY, JUSTITIA, CRONOS"
322760497,345,"FAIR PAY, JUSTITIA, CRONOS"
322760497,352,FAIR PAY JUSTITIA - CRONOS
322760497,352,FAIR PAY JUSTITIA - CRONOS
322760497,360,FAIR PAY JUSTITIA - CRONOS
322760497,360,FAIR PAY JUSTITIA - CRONOS
322760497,378,
322760497,378,
322765967,52,
322792953,91,
322792953,91,
322897935,35,
322897935,43,
322897935,43,
323014001,57,SCP BUET CAUMEAU CHALOPIN
323014001,65,
323242941,41,
323247437,11,
323247437,11,
323331843,25,
323374264,22,
323374264,22,
323425520,42,
323519421,32,
323592881,78,GENIER DEFORGE/ DIAM
323686071,73,
323718106,38,
323773663,30,
323773663,48,
323875567,14,
323875567,14,CENTRE DISTRIBUTEUR E.LECLERC - LA GOUGERE
323885335,113,
323912238,33,
323957191,14,
324071398,48,
324071398,48,
324107713,20,
324109545,40,
324379643,12,
324513936,58,
324513936,82,MIRAGE
324513936,90,
324740729,86,
324860360,19,
324860360,27,ETRIER DES MONEDIERES
324883800,25,
324883800,25,
324953462,52,
325102077,14,
325102077,14,
325109437,39,
325109437,47,
325134666,24,
325134666,32,
325164390,16,
325220036,41,
325299733,23,
325299733,31,
325324911,16,
325475689,23,
325475689,31,
325674042,24,
325674042,32,
325674042,32,
325674042,40,
325838894,47,
325838894,47,
325838894,54,
325919421,17,
325973477,12,
325973477,20,
326028537,16,
326028537,24,
326080314,49,
326108388,17,
326136074,50,ETUDE GORDOLON MONTMARTRE IMMOBILIER
326136074,50,ETUDE GORDOLON MONTMARTRE IMMOBILIER
326225026,29,LALANNE ET FILS
326225026,29,L'ATELIER DE DECAPAGE
326279403,17,
326315173,20,
326315173,20,
326322575,43,
326322575,43,
326423092,47,
326423092,54,
326593878,27,
326593878,35,
326666849,20,
326732799,43,
326738812,22,
326738812,30,
326738812,30,
326738812,55,
326738812,55,
326738812,63,
326738812,63,
326738812,71,
326742145,13,
326806296,17,
326806296,17,
327098232,58,
327149142,58,
327184529,29,
327196994,21,
327196994,21,
327229563,41,
327326484,18,
327326484,26,
327464442,59,
327510418,20,
327668711,51,
327668711,51,
327668711,77,
327736542,25,
327889952,21,
327921912,25,
327989711,111,
328003785,40,
328096342,14,
328329016,62,
328329016,70,
328376017,13,
328376017,21,
328376793,50,
328434832,56,ART ET BROCANTE
328520838,33,
328685540,10,
328685540,28,GEM CHAUSSURES
328685540,28,GEM CHAUSSURES
328793344,16,
328913306,28,
328996871,70,
328996871,70,
329047229,52,
329047229,52,
329066864,45,
329103501,55,
329243943,19,
329243943,27,
329368526,243,AGENCE VITROLLES
329368526,243,AGENCE LMS
329434716,125,
329451439,72,
329451439,72,
329451439,98,
329451439,98,
329451439,122,
329451439,122,
329451439,130,
329521488,34,
329581110,56,
329581110,64,
329581110,64,
329697031,30,
329754022,39,
329764161,25,
329764161,33,
329865042,33,
329865042,33,
330009770,18,
330110305,27,
330110305,27,
330110305,35,
330110305,35,
330116252,33,
330240714,49,
330267691,5350,CHAUSSEA
330473406,73,
330473406,73,
330628447,22,
330670027,37,
330772187,28,JC JACQUES SOUDURE
330902636,35,
330902636,43,LE GRENIER
331068148,39,
331068148,39,
331094151,56,RESTAURANT DU CAMP DES GORGES
331095059,27,
331095059,35,
331095059,35,
331095059,43,
331415513,83,
331415513,91,
331448209,48,
331507202,17,
331552554,31,
331556175,72,
331683268,14,
331683268,22,
331761205,11,
331761205,11,
332009737,13,
332086347,33,
332086347,33,
332175470,27,
332175470,35,
332300110,35,PIZZERIA DE LA PLACE
332598614,37,ESTELLE COIFFURE
332716760,35,
332716760,43,
332737394,517,
332737394,616,
332737394,707,
332737394,749,
332745447,26,
332745447,26,
332804293,14,
332818137,82,
332842699,16,
332954734,23,
333031821,98,
333031821,98,
333202083,1302,
333290625,24,
333565844,110,
333565844,110,EDGEWELL PERSONAL CARE FRANCE
333646529,60,PROCOPY
333646529,110,PROCOPY
333646529,110,PROCOPY
333818243,45,
333875581,14,
334126760,27,
334126760,35,
334159472,9335,REF INTERNE A52676
334163763,33,
334173820,39,
334173820,47,
334245263,44,
334410115,52,
334410115,60,
334431699,50,
334431699,50,
334446192,34,
334455409,14,
334455409,22,
334455409,22,
334551306,23,
334591328,37,
334591328,37,
334610656,61,ALIX MAROQUINIER
334721271,40,
334815248,29,
334843091,29,
334908779,47,
335213021,25,
335281499,20,
337519078,63,
337544506,21,
337615835,10,
337615835,10,
337621841,1133,RICOH
337621841,1240,RICOH
337643795,137,
337643795,137,
337771950,58,
337856462,11,
337934582,38,
338274236,60,
338318470,139,
338318470,170,
338691249,19,
338696677,16,
338696677,16,
338757768,19,
338773849,33,
338773849,41,
338908072,30,
339359051,28,
339359051,36,
339392128,23,
339472714,31,
339498420,43,
339503096,69,
339503096,77,
339583064,11,
339585945,27,
339585945,27,
339585945,35,
339669814,24,
339671307,25,
339671307,33,
339681694,40,
339787962,36,
339787962,44,
